name,category,category_id,miles_per_azn,condition,image_url
Duty Free Az International,Parfumeriya və kosmetika,11,2,,https://miles.pashabank.az/sites/default/files/2024-10/duty_free_az_international_logo_02.png
Badamdar Hotel Chill Bar and Dine restoran,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2024-05/Badamdar_Restoran_logo_01.png
Badamdar Hotel Fitness&Spa,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2024-05/Badamdar_Fitness_Spa_logo_01.png
Medholding Klinika,Gözəllik və sağlamlıq,6,2,,https://miles.pashabank.az/sites/default/files/2024-04/medholding_klinika_logo_01.jpg
Ra Construction,Daşınmaz əmlak,18,0.25,Yalnız İpoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2024-04/ra_construction_logo_01.png
Sartoria Enzo,"Geyim, ayaqqabı və aksesuarlar",16,7,,https://miles.pashabank.az/sites/default/files/2024-04/sartoria_enzo_logo_01.png
Favorit Premium Market,Supermarketlər,8,0.5,,https://miles.pashabank.az/sites/default/files/2024-03/favorite_premium_market_logo_01.png
Polo Residence,Daşınmaz əmlak,18,0.25,Əlavə millər sahəsi 100 m² və daha artıq olan mənzillər üçün və yalnız şirkətin daxili krediti ilə mənzilin ilkin və ya tam qiyməti şəhər ofisində ödənildikdə hesablanır,https://miles.pashabank.az/sites/default/files/2023-11/Polo_Residences_logo_2.png
Delicates,Supermarketlər,8,1,,https://miles.pashabank.az/sites/default/files/2023-12/delicates_logo_01.png
Avenue Joaillerie,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2023-11/avenue_jovailler_logo_01.png
Beerbasha Səməd Vurğun,Kafe və restoranlar,7,1,Əlavə millər yalnız Səməd Vurğun pr-da olan filialda hesablanır,https://miles.pashabank.az/sites/default/files/2023-11/beerbasha_logo_51.png
Child Dreams,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2023-11/Child_Dreams_logo_01.png
Casa Baku,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2023-11/CASA_Baku_logo_01.png
High Park Residence,Daşınmaz əmlak,18,1,Yalnız İpoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2023-09/high_park_residence_logo_01.png
1ST Fitness,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2023-09/1st_fitness_logo_01.png
Weltew Home,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2023-09/weltew_home_logo_01.png
Merinos Home,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2023-09/merinos_home_logo_01_0.png
Galateya,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2023-06/galateya_logo_01.png
Lankaran Springs Wellness Resort,Turizm və otellər,14,0.5,,https://miles.pashabank.az/sites/default/files/2023-05/Lankaran_Springs_Wellness_Resort_logo_02.png
Chenot Palace Gabala,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Chenot_Palace_Gabala_logo_01.png
Garabagh Resort and SPA,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Garabagh_Resort_and_SPA_logo_01.png
Qalaalti Hotel and SPA,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Qalaalti_Hotel_and_SPA_logo_02.png
Gashalti Health Hotel Naftalan,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Gashalti_Health_Hotel_Naftalan_logo_01.jpg
STİ TRAVEL,Turizm və otellər,14,1,Əlavə mil toplanması aviabilet alışına şamil olunmur,https://miles.pashabank.az/sites/default/files/2023-05/sti_travel_logo_01.png
Laser Tag,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2023-05/laser_tag_logo_01.png
Solong,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2023-05/solong_logo_01.png
